Tempo(s)    P0(KPa) P0+Coluna(KPa)  P1(KPa) P1+Coluna(KPa)  Vazao(L/min)    Pulsos
0.000	-2.14	6.13	0.05	7.90	0.000	0
0.032	-1.77	6.50	0.02	7.87	0.000	0
0.064	-1.43	6.83	0.06	7.91	0.000	0
0.096	-1.86	6.40	0.07	7.92	0.000	0
0.128	0.17	8.44	0.01	7.87	0.000	0
0.160	0.13	8.39	-0.01	7.84	0.000	0
0.192	-0.02	8.25	0.04	7.89	0.000	0
0.224	-1.82	6.44	0.07	7.92	0.000	0
0.256	-2.27	6.00	0.08	7.93	0.000	0
0.288	-2.13	6.13	0.06	7.91	0.000	0
0.320	-2.22	6.05	0.03	7.88	0.000	0
0.352	-2.23	6.04	0.03	7.88	0.000	0
0.384	-2.10	6.16	0.06	7.91	0.000	0
0.416	-0.75	7.52	0.08	7.93	0.000	0
0.448	-2.17	6.09	0.06	7.91	0.000	0
0.480	-1.99	6.28	0.02	7.87	0.000	0
0.512	-1.98	6.28	0.03	7.88	0.000	0
0.544	-2.26	6.00	0.05	7.90	0.000	0
0.576	-1.99	6.27	0.07	7.92	0.000	0
0.608	-1.90	6.36	0.05	7.90	0.000	0
0.640	-2.12	6.14	0.02	7.87	0.000	0
0.672	-1.92	6.34	0.03	7.88	0.000	0
0.704	-2.08	6.19	0.05	7.90	0.000	0
0.736	-2.02	6.25	0.07	7.92	0.000	0
0.768	-1.96	6.31	0.05	7.90	0.000	0
0.800	-2.01	6.26	0.03	7.88	0.000	0
0.832	-1.91	6.35	0.04	7.89	0.000	0
0.864	-1.89	6.37	0.04	7.89	0.000	0
0.896	-1.94	6.33	0.07	7.92	0.000	0
0.928	-1.82	6.45	0.05	7.90	0.000	0
0.960	-1.78	6.48	0.02	7.87	0.000	0
0.992	-1.76	6.51	0.01	7.87	0.000	0
1.024	-1.65	6.62	0.04	7.89	0.000	0
1.056	-1.64	6.62	0.06	7.91	0.000	0
1.088	-1.61	6.65	0.04	7.89	0.000	0
1.120	-1.54	6.72	0.01	7.86	0.000	0
1.152	-1.55	6.71	0.01	7.86	0.000	0
1.184	-1.54	6.72	0.03	7.88	0.000	0
1.216	-1.49	6.78	0.06	7.91	0.000	0
1.248	-1.51	6.76	0.04	7.89	0.000	0
1.280	-1.51	6.75	0.01	7.86	0.000	0
1.312	-1.54	6.73	0.01	7.86	0.000	0
1.344	-1.48	6.78	0.04	7.89	0.000	0
1.376	-1.40	6.86	0.06	7.91	0.000	0
1.408	-1.48	6.79	0.04	7.89	0.000	0
1.440	-1.50	6.76	0.02	7.87	0.000	0
1.472	-1.50	6.77	0.01	7.87	0.000	0
1.504	-1.53	6.74	0.04	7.89	0.000	0
1.536	-1.50	6.76	0.06	7.92	0.000	0
1.568	-1.52	6.74	0.05	7.90	0.000	0
1.600	-1.55	6.72	0.02	7.87	0.000	0
1.632	-1.58	6.69	0.01	7.87	0.000	0
1.664	-1.50	6.76	0.04	7.89	0.000	0
1.696	-1.52	6.75	0.06	7.91	0.000	0
1.728	-1.45	6.81	0.04	7.89	0.000	0
1.760	-1.38	6.89	0.01	7.86	0.000	0
1.792	-1.46	6.81	0.01	7.86	0.000	0
1.824	-1.45	6.81	0.03	7.88	0.000	0
1.856	-1.44	6.83	0.05	7.90	0.000	0
1.888	-1.00	7.27	0.04	7.89	0.000	0
1.920	4.07	12.34	0.03	7.88	0.000	0
1.952	12.11	20.38	0.02	7.87	0.000	0
1.984	13.92	22.19	0.05	7.90	0.000	0
2.016	13.56	21.83	0.07	7.92	0.000	0
2.048	13.83	22.09	0.05	7.90	0.000	0
2.080	14.20	22.47	0.03	7.88	0.000	0
2.112	14.20	22.47	0.02	7.87	0.390	85
2.144	14.00	22.26	0.05	7.90	0.390	85
2.176	14.32	22.59	0.07	7.92	0.390	85
2.208	14.58	22.84	0.06	7.91	0.390	85
2.240	14.50	22.77	0.03	7.88	0.390	85
2.272	14.50	22.76	0.03	7.88	0.390	85
2.304	14.42	22.68	0.06	7.91	0.390	85
2.336	14.58	22.84	0.08	7.93	0.390	85
2.368	14.53	22.79	0.06	7.92	0.390	85
2.400	14.66	22.93	0.04	7.89	0.390	85
2.432	14.70	22.97	0.03	7.88	0.390	85
2.464	14.73	22.99	0.06	7.91	0.390	85
2.496	15.00	23.27	0.08	7.93	0.390	85
2.528	14.91	23.18	0.06	7.91	0.390	85
2.560	14.87	23.14	0.03	7.88	1.229	268
2.592	14.97	23.23	0.03	7.88	1.229	268
2.624	15.13	23.40	0.05	7.90	1.229	268
2.656	15.12	23.39	0.07	7.92	1.229	268
2.688	15.11	23.37	0.07	7.92	1.229	268
2.720	14.95	23.22	0.04	7.89	1.229	268
2.752	15.11	23.38	0.03	7.88	1.229	268
2.784	15.13	23.39	0.05	7.90	1.229	268
2.816	15.01	23.28	0.08	7.93	1.229	268
2.848	15.15	23.42	0.06	7.91	1.229	268
2.880	15.08	23.34	0.03	7.88	1.229	268
2.912	15.17	23.44	0.03	7.88	1.229	268
2.944	15.49	23.76	0.05	7.90	1.229	268
2.976	15.65	23.92	0.08	7.93	1.229	268
3.008	15.48	23.75	0.06	7.91	1.229	268
3.040	15.48	23.75	0.03	7.88	1.239	270
3.072	15.51	23.78	0.03	7.88	1.239	270
3.104	15.35	23.61	0.05	7.90	1.239	270
3.136	15.40	23.66	0.08	7.93	1.239	270
3.168	15.22	23.48	0.06	7.91	1.239	270
3.200	15.11	23.37	0.03	7.88	1.239	270
3.232	14.97	23.23	0.02	7.87	1.239	270
3.264	14.96	23.23	0.05	7.90	1.239	270
3.296	15.13	23.40	0.08	7.93	1.239	270
3.328	15.23	23.50	0.05	7.90	1.239	270
3.360	14.93	23.20	0.03	7.88	1.239	270
3.392	15.11	23.38	0.02	7.87	1.239	270
3.424	15.32	23.58	0.05	7.90	1.239	270
3.456	15.25	23.52	0.07	7.92	1.239	270
3.488	15.22	23.49	0.06	7.91	1.239	270
3.520	15.08	23.35	0.03	7.88	1.239	270
3.552	15.21	23.47	0.02	7.87	1.239	270
3.584	15.05	23.31	0.04	7.89	1.239	270
3.616	15.06	23.32	0.08	7.93	1.239	270
