Contador    P0    P1
0	-2.22   -2.22
276	16.77	-0.14
277	16.77	-0.14
278	17.04	-0.14
279	17.04	-0.14
280	17.04	-0.14
281	16.89	-0.14
282	16.89	-0.14
283	16.89	-0.14
284	16.62	-0.14
285	16.62	-0.14
286	16.62	-0.14
287	16.69	-0.14
288	16.69	-0.14
289	16.69	-0.14
290	16.81	-0.14
291	16.81	-0.14
292	16.81	-0.14
293	16.89	-0.14
294	16.89	-0.14
295	16.89	-0.14
296	16.90	-0.14
297	16.90	-0.14
298	16.90	-0.14
299	16.91	-0.14
300	16.91	-0.14
301	16.91	-0.14
302	17.03	-0.14
303	17.03	-0.14
304	17.03	-0.14
305	17.06	-0.14
306	17.06	-0.14
307	17.06	-0.14
308	17.00	-0.14
309	17.00	-0.14
310	17.00	-0.14
311	17.00	-0.14
312	17.00	-0.15
313	17.00	-0.15
314	17.11	-0.15
315	17.11	-0.15
316	17.11	-0.15
317	17.04	-0.15
318	17.04	-0.14
319	17.04	-0.14
320	16.92	-0.14
321	16.92	-0.15
322	16.92	-0.15
323	17.00	-0.15
324	17.00	-0.15
325	17.00	-0.15
326	17.05	-0.15
327	17.05	-0.14
328	17.05	-0.14
329	16.89	-0.14
330	16.89	-0.15
331	16.89	-0.15
332	16.88	-0.15
333	16.88	-0.15
334	16.88	-0.15
335	17.13	-0.15
336	17.13	-0.15
337	17.13	-0.15
338	17.16	-0.15
339	17.16	-0.15
340	17.16	-0.15
341	17.06	-0.15
342	17.06	-0.15
343	17.06	-0.15
344	17.03	-0.15
345	17.03	-0.15
346	17.03	-0.15
347	16.96	-0.15
348	16.96	-0.15
349	16.96	-0.15
350	17.02	-0.15
351	17.02	-0.15
352	17.02	-0.15
353	17.08	-0.15
354	17.08	-0.15
355	17.08	-0.15
356	17.07	-0.15
357	17.07	-0.15
358	17.07	-0.15
359	17.13	-0.15
360	17.13	-0.15
361	17.13	-0.15
362	17.13	-0.15
363	17.13	-0.15
364	17.13	-0.15
365	16.96	-0.15
366	16.96	-0.15
367	16.96	-0.15
368	17.09	-0.15
369	17.09	-0.15
370	17.09	-0.15
371	17.11	-0.15
372	17.11	-0.15
373	17.11	-0.15
374	17.09	-0.15
375	17.09	-0.15
376	17.09	-0.15
377	17.03	-0.15
378	17.03	-0.15
379	17.03	-0.15
380	17.05	-0.15
381	17.05	-0.15
382	17.05	-0.15
383	17.02	-0.15
384	17.02	-0.15
385	17.02	-0.15
386	16.91	-0.15
387	16.91	-0.15
388	16.91	-0.15
389	16.95	-0.15
390	16.95	-0.15
391	16.95	-0.15
392	17.00	-0.15
393	17.00	-0.15
394	17.00	-0.15
395	17.13	-0.15
396	17.13	-0.15
397	17.13	-0.15
398	17.21	-0.15
399	17.21	-0.15
400	17.21	-0.15
401	17.05	-0.15
402	17.05	-0.15
403	17.05	-0.15
