Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
60.544	19.67	29.30	0.03	7.66
60.634	27.13	36.76	0.01	7.64
60.724	31.87	41.50	-0.08	7.55
60.814	31.77	41.40	0.09	7.72
60.904	25.61	35.24	-0.06	7.57
60.994	21.80	31.43	0.03	7.66
61.084	24.01	33.64	0.02	7.65
61.174	24.96	34.59	-0.08	7.55
61.264	24.17	33.80	0.09	7.72
61.354	23.34	32.97	-0.05	7.58
61.444	21.34	30.97	0.03	7.66
61.534	19.05	28.68	0.03	7.65
61.624	16.47	26.10	-0.08	7.55
61.714	14.95	24.58	0.08	7.71
61.804	21.08	30.71	-0.05	7.57
61.901	28.63	38.26	0.02	7.65
61.994	32.55	42.18	0.03	7.66
62.084	30.41	40.04	0.04	7.66
62.174	24.28	33.91	-0.08	7.55
62.263	22.13	31.76	0.09	7.71
62.353	24.59	34.22	-0.05	7.58
62.443	24.89	34.52	0.03	7.65
62.533	24.06	33.69	0.04	7.66
62.623	23.06	32.69	-0.08	7.55
62.713	20.80	30.43	0.08	7.71
62.803	18.30	27.93	-0.05	7.58
62.895	15.47	25.09	0.06	7.69
62.986	16.37	26.00	-0.04	7.59
63.083	24.14	33.77	0.05	7.68
63.173	30.27	39.90	-0.08	7.55
63.263	32.65	42.28	0.08	7.70
63.353	28.23	37.86	-0.04	7.59
63.443	22.70	32.33	0.02	7.65
63.533	22.90	32.53	0.05	7.68
63.623	24.90	34.53	-0.08	7.54
63.723	24.57	34.20	-0.08	7.55
63.819	23.67	33.30	-0.04	7.59
63.913	21.89	31.52	0.07	7.70
64.002	19.62	29.25	-0.04	7.59
64.092	16.98	26.61	0.01	7.64
64.182	14.76	24.38	0.06	7.69
64.272	19.75	29.38	-0.08	7.54
64.362	27.05	36.68	0.07	7.70
64.452	32.00	41.63	-0.03	7.59
64.545	31.79	41.42	0.06	7.69
64.642	25.15	34.78	0.00	7.63
64.732	21.93	31.56	0.07	7.70
64.822	24.24	33.87	-0.08	7.55
64.912	24.95	34.58	0.07	7.70
65.002	24.11	33.74	-0.03	7.60
65.092	23.25	32.88	-0.00	7.62
65.182	21.18	30.81	0.07	7.70
65.272	18.89	28.52	-0.09	7.54
65.362	16.22	25.85	0.06	7.69
65.452	15.46	25.09	-0.03	7.60
65.542	22.10	31.73	-0.01	7.62
65.632	28.92	38.55	0.09	7.71
65.721	32.74	42.37	-0.08	7.55
65.811	30.36	39.99	0.06	7.69
65.901	24.18	33.81	-0.03	7.60
65.991	22.22	31.85	-0.02	7.61
66.081	24.61	34.24	0.09	7.71
66.171	24.86	34.48	-0.08	7.55
66.268	23.87	33.50	-0.03	7.60
66.361	22.87	32.50	0.05	7.68
66.451	20.50	30.13	-0.02	7.60
66.541	18.17	27.80	-0.03	7.60
66.631	15.44	25.07	0.08	7.71
66.721	16.94	26.57	-0.07	7.55
66.811	24.17	33.80	0.05	7.68
66.901	30.29	39.92	-0.02	7.61
66.991	32.71	42.34	-0.04	7.59
67.081	28.23	37.85	0.09	7.71
67.171	22.74	32.37	-0.07	7.55
67.261	22.86	32.48	0.04	7.67
67.351	24.89	34.52	-0.01	7.61
67.440	24.63	34.26	-0.05	7.58
67.530	23.77	33.40	0.09	7.71
67.620	22.22	31.85	-0.07	7.56
67.710	19.80	29.43	0.04	7.67
67.800	17.52	27.15	-0.01	7.62
67.890	14.87	24.50	-0.06	7.57
67.980	18.04	27.67	0.09	7.72
68.073	25.61	35.24	-0.08	7.55
68.163	31.03	40.66	0.09	7.72
68.265	31.82	41.45	0.05	7.68
68.360	25.54	35.17	0.03	7.66
68.450	21.67	31.29	0.00	7.63
68.540	23.76	33.39	-0.07	7.56
68.630	24.78	34.41	0.09	7.72
68.720	24.17	33.80	-0.06	7.57
68.810	23.38	33.01	0.03	7.66
68.900	21.28	30.91	0.01	7.64
68.990	18.97	28.60	-0.08	7.55
69.080	16.56	26.19	0.09	7.71
69.170	15.03	24.65	-0.06	7.57
69.259	21.19	30.82	0.04	7.66
69.349	28.38	38.01	0.03	7.65
69.439	32.42	42.05	-0.08	7.55
69.529	30.90	40.53	0.09	7.72
69.619	24.64	34.27	-0.05	7.57
69.709	22.01	31.64	0.03	7.65
69.802	24.46	34.08	-0.04	7.59
69.899	24.88	34.51	0.04	7.67
69.989	23.91	33.54	-0.08	7.54
70.079	23.03	32.66	0.08	7.71
70.169	20.69	30.32	-0.05	7.58
70.259	18.36	27.99	0.02	7.64
70.349	15.70	25.33	0.05	7.68
70.439	16.27	25.90	-0.08	7.55
70.529	23.41	33.03	0.07	7.70
70.626	30.21	39.84	0.02	7.65
70.719	32.76	42.39	-0.04	7.59
70.809	28.26	37.89	0.01	7.64
70.899	22.68	32.30	0.07	7.69
70.988	22.84	32.47	-0.08	7.54
71.078	24.81	34.44	0.07	7.70
71.168	24.67	34.29	-0.04	7.59
71.258	23.78	33.41	-0.00	7.63
71.348	22.36	31.99	0.07	7.70
71.438	19.94	29.57	-0.09	7.54
71.528	17.56	27.19	0.07	7.69
71.618	14.83	24.46	-0.03	7.60
71.708	18.07	27.70	-0.01	7.62
71.798	25.44	35.07	0.08	7.71
71.888	30.82	40.45	-0.08	7.55
71.978	32.11	41.73	0.06	7.69
72.068	26.89	36.52	-0.03	7.60
72.158	22.09	31.72	-0.02	7.61
72.248	23.43	33.05	0.09	7.72
72.338	24.91	34.53	-0.08	7.55
72.428	24.45	34.08	0.06	7.69
72.518	23.59	33.22	-0.02	7.60
72.608	21.96	31.59	-0.04	7.59
72.703	19.28	28.90	-0.05	7.58
72.797	16.70	26.33	0.09	7.71
72.887	14.81	24.44	-0.08	7.55
72.977	20.39	30.02	0.05	7.67
73.067	27.65	37.28	-0.01	7.61
73.157	32.27	41.90	-0.05	7.58
73.253	31.33	40.95	-0.05	7.57
73.347	24.85	34.48	0.09	7.72
73.437	22.12	31.74	-0.07	7.56
73.527	24.57	34.20	0.04	7.66
73.617	25.06	34.69	-0.00	7.63
73.707	24.10	33.73	-0.07	7.56
73.797	23.26	32.89	0.09	7.72
73.887	20.99	30.62	-0.06	7.56
73.977	18.69	28.32	0.03	7.66
74.067	16.11	25.74	0.01	7.63
74.157	15.79	25.42	-0.08	7.55
74.247	22.64	32.27	0.09	7.71
74.337	29.39	39.02	-0.05	7.57
74.427	32.78	42.41	0.03	7.66
74.516	29.94	39.57	0.02	7.65
74.606	23.76	33.38	-0.08	7.55
74.696	22.32	31.95	0.08	7.71
74.786	24.63	34.26	-0.06	7.57
74.876	24.72	34.35	0.03	7.66
74.973	23.96	33.59	-0.08	7.55
75.069	22.64	32.27	-0.04	7.59
75.166	20.07	29.70	0.04	7.66
75.256	17.67	27.30	-0.08	7.55
75.346	14.94	24.57	0.08	7.71
75.436	18.30	27.93	-0.05	7.58
75.526	25.83	35.46	0.02	7.65
75.616	31.32	40.95	0.05	7.68
75.706	32.47	42.10	-0.08	7.55
75.796	27.04	36.67	0.08	7.70
75.886	22.31	31.93	-0.04	7.59
75.976	23.61	33.24	0.02	7.65
76.066	25.06	34.69	0.06	7.69
76.155	24.56	34.18	-0.08	7.54
76.245	23.73	33.35	0.07	7.70
76.335	21.98	31.61	-0.03	7.59
76.425	19.65	29.28	0.01	7.63
76.515	17.23	26.86	0.06	7.69
76.605	14.93	24.56	-0.08	7.54
76.695	19.69	29.32	0.07	7.70
76.785	26.98	36.61	-0.03	7.59
76.875	31.84	41.47	0.00	7.63
76.965	32.10	41.73	0.07	7.70
77.055	26.00	35.63	-0.09	7.54
77.150	21.99	31.62	-0.01	7.62
77.245	24.36	33.99	0.06	7.69
77.335	25.03	34.66	-0.03	7.60
77.425	24.25	33.88	-0.01	7.62
77.515	23.47	33.10	0.08	7.70
77.605	21.34	30.97	-0.09	7.54
77.695	18.95	28.58	0.06	7.68
77.785	16.18	25.81	-0.03	7.60
77.875	15.27	24.90	-0.02	7.61
77.964	21.93	31.55	0.09	7.72
78.054	28.77	38.40	-0.08	7.55
78.144	32.57	42.20	0.06	7.69
78.234	30.53	40.16	-0.03	7.60
78.324	24.42	34.05	-0.03	7.60
78.417	22.34	31.97	-0.00	7.62
78.508	24.79	34.42	-0.03	7.60
78.604	24.87	34.50	-0.08	7.55
78.694	23.82	33.44	0.06	7.68
78.784	23.09	32.72	-0.02	7.61
78.874	20.73	30.36	-0.04	7.59
78.964	18.28	27.91	0.09	7.71
79.054	15.49	25.12	-0.08	7.55
79.144	16.72	26.35	0.05	7.68
79.234	24.05	33.68	-0.01	7.61
79.324	30.34	39.97	-0.04	7.59
79.421	32.69	42.32	-0.08	7.55
79.514	27.74	37.37	0.08	7.71
79.604	22.49	32.12	-0.08	7.55
79.693	23.21	32.84	0.05	7.67
79.783	25.04	34.67	-0.02	7.61
79.873	24.73	34.36	-0.05	7.58
79.963	23.81	33.44	0.09	7.71
80.053	22.32	31.95	-0.07	7.56
80.143	19.84	29.47	0.04	7.67
80.233	17.33	26.96	-0.01	7.62
80.326	14.62	24.25	0.04	7.66
80.423	19.67	29.30	-0.06	7.57
80.513	27.08	36.71	0.09	7.72
80.603	32.03	41.66	-0.07	7.56
80.693	32.22	41.85	0.04	7.67
80.783	26.04	35.67	-0.01	7.62
80.873	21.92	31.55	-0.06	7.57
80.963	24.01	33.64	0.08	7.71
81.053	24.99	34.62	-0.07	7.56
81.143	24.27	33.90	0.04	7.67
81.233	23.36	32.99	-0.01	7.62
81.323	10.99	20.62	-0.06	7.56
81.412	-0.73	8.90	0.09	7.71
81.502	-4.54	5.09	-0.07	7.56
81.635	-1.19	8.44	-0.06	7.57
81.732	1.26	10.89	-0.00	7.62
81.822	1.34	10.97	-0.08	7.55
81.912	-0.02	9.61	0.09	7.72
82.002	-1.11	8.52	-0.07	7.56
82.092	-1.13	8.50	0.04	7.66
82.182	-0.44	9.19	0.00	7.63
82.272	0.15	9.78	-0.07	7.55
82.362	0.14	9.77	0.09	7.72
82.452	-0.31	9.32	-0.06	7.57
82.542	-0.66	8.97	0.03	7.66
82.632	-0.66	8.97	0.00	7.63
82.722	-0.40	9.23	-0.08	7.55
82.812	-0.18	9.44	0.09	7.71
82.902	-0.23	9.40	-0.06	7.57
82.992	-0.42	9.20	0.03	7.66
83.082	-0.54	9.09	0.01	7.64
83.172	-0.50	9.13	-0.08	7.55
83.261	-0.38	9.25	0.08	7.71
83.351	-0.31	9.32	-0.06	7.57
83.441	-0.35	9.28	0.03	7.66
83.531	-0.43	9.20	0.01	7.64
83.623	-0.47	9.16	0.00	7.63
83.714	-0.44	9.19	0.02	7.65
83.833	-0.38	9.24	-0.04	7.59
83.924	-0.38	9.25	0.03	7.65
84.021	-0.41	9.22	-0.08	7.54
84.111	-0.43	9.20	0.08	7.71
84.201	-0.43	9.20	-0.06	7.57
84.291	-0.41	9.22	0.03	7.66
84.381	-0.40	9.23	0.02	7.65
84.471	-0.40	9.23	-0.08	7.54
84.561	-0.41	9.22	0.08	7.71
84.651	-0.42	9.21	-0.05	7.57
84.741	-0.42	9.21	0.02	7.65
84.831	-0.41	9.22	0.02	7.65
84.921	-0.41	9.22	-0.09	7.54
85.010	-0.42	9.21	0.08	7.71
85.100	-0.43	9.20	-0.05	7.58
85.190	-0.44	9.18	0.03	7.65
85.280	-0.45	9.18	0.03	7.66
85.370	-0.46	9.17	-0.08	7.54
85.460	-0.47	9.16	0.08	7.71
85.550	-0.48	9.15	-0.06	7.57
85.643	-0.50	9.13	0.07	7.70
85.740	-0.49	9.14	0.02	7.65
85.830	-0.49	9.14	0.04	7.67
85.920	-0.49	9.14	-0.08	7.55
86.010	-0.49	9.13	0.08	7.71
86.109	-0.52	9.11	0.05	7.68
86.203	-0.50	9.13	-0.09	7.54
86.300	-0.50	9.13	-0.05	7.58
86.390	-0.50	9.13	0.02	7.65
86.480	-0.50	9.13	0.04	7.67
86.570	-0.50	9.13	-0.09	7.54
86.660	-0.50	9.13	0.08	7.71
86.750	-0.50	9.13	-0.05	7.58
86.839	-0.50	9.13	0.02	7.65
86.929	-0.50	9.13	0.04	7.67
87.019	-0.51	9.12	-0.09	7.54
87.109	-0.51	9.12	0.07	7.70
87.199	-0.51	9.12	-0.05	7.58
87.289	-0.51	9.12	0.02	7.64
87.379	-0.51	9.12	0.04	7.67
87.469	-0.51	9.12	-0.09	7.54
87.559	-0.51	9.12	0.08	7.70
87.649	-0.51	9.12	-0.04	7.58
87.739	-0.51	9.12	0.02	7.65
87.829	-0.51	9.12	0.05	7.68
87.919	-0.51	9.12	-0.08	7.54
88.009	-0.51	9.12	0.07	7.70
88.099	-0.51	9.12	-0.04	7.58
88.189	-0.51	9.12	0.02	7.64
88.279	-0.48	9.15	0.05	7.68
88.375	-0.49	9.14	0.07	7.70
88.469	-0.47	9.16	-0.08	7.54
88.558	-0.46	9.17	0.06	7.69
88.648	-0.52	9.11	-0.03	7.60
88.738	-0.30	9.33	0.02	7.64
88.830	-0.42	9.21	-0.03	7.60
88.921	-0.48	9.14	0.02	7.65
89.018	-0.48	9.14	-0.04	7.59
89.108	-0.44	9.18	0.05	7.68
89.198	-0.45	9.18	-0.04	7.59
89.288	-0.46	9.17	0.02	7.65
89.378	-0.46	9.17	0.01	7.64
89.468	-0.54	9.09	-0.08	7.55
89.558	-0.56	9.07	0.07	7.70
89.648	-0.56	9.07	-0.04	7.59
89.738	-0.56	9.07	0.02	7.65
89.828	-0.56	9.07	0.05	7.68
89.918	-0.57	9.06	-0.09	7.54
90.008	-0.56	9.07	0.07	7.70
90.098	-0.56	9.07	-0.04	7.59
90.188	-0.56	9.07	0.01	7.63
90.277	-0.51	9.12	0.03	7.66
