Tempo(s)	P0(KPa)	P0+Coluna(KPa)	P1(KPa)	P1+Coluna(KPa)
13.939	24.39	34.02	-0.06	7.56
14.035	23.84	33.47	0.02	7.65
14.129	23.01	32.64	0.04	7.67
14.219	21.12	30.75	-0.01	7.62
14.309	18.81	28.44	-0.05	7.57
14.399	16.29	25.92	0.09	7.71
14.489	14.45	24.08	-0.07	7.56
14.579	20.08	29.70	0.04	7.67
14.669	27.01	36.64	-0.01	7.62
14.759	31.31	40.94	-0.05	7.57
14.849	30.50	40.13	0.09	7.72
14.939	24.47	34.10	-0.07	7.56
15.029	21.31	30.94	0.04	7.67
15.119	23.62	33.25	-0.01	7.62
15.209	24.54	34.17	-0.06	7.57
15.299	23.87	33.50	0.09	7.72
15.389	22.92	32.55	-0.06	7.56
15.479	20.66	30.28	0.04	7.67
15.569	18.38	28.01	-0.01	7.62
15.658	15.78	25.41	-0.06	7.57
15.748	14.97	24.60	0.09	7.72
15.838	21.37	31.00	-0.06	7.56
15.928	27.98	37.61	0.04	7.67
16.018	31.48	41.11	-0.00	7.62
16.108	29.52	39.15	-0.06	7.57
16.198	23.58	33.21	0.09	7.71
16.288	21.47	31.10	-0.06	7.57
16.384	23.93	33.56	0.02	7.64
16.478	24.15	33.78	0.04	7.67
16.568	23.53	33.16	-0.01	7.62
16.658	22.26	31.89	-0.06	7.57
16.748	19.93	29.56	0.08	7.71
16.841	17.45	27.08	-0.04	7.58
16.938	14.71	24.34	-0.07	7.56
17.028	17.12	26.74	0.04	7.67
17.118	24.27	33.89	-0.01	7.62
17.208	30.05	39.68	-0.05	7.58
17.298	31.86	41.49	0.09	7.72
17.388	26.88	36.51	-0.07	7.56
17.478	21.76	31.39	0.04	7.67
17.567	22.53	32.16	-0.01	7.62
17.657	24.41	34.03	-0.05	7.57
17.747	24.07	33.70	0.09	7.71
17.837	23.30	32.93	-0.07	7.56
17.970	20.42	30.04	-0.06	7.57
18.067	18.16	27.79	-0.01	7.62
18.157	15.51	25.14	-0.05	7.58
18.247	15.63	25.25	0.08	7.71
18.337	22.37	32.00	-0.07	7.56
18.427	28.86	38.48	0.05	7.67
18.523	31.85	41.48	-0.07	7.55
18.617	27.82	37.45	-0.01	7.61
18.707	22.22	31.85	-0.05	7.58
18.797	22.00	31.63	0.08	7.71
18.887	24.17	33.80	-0.06	7.56
18.977	24.02	33.64	0.04	7.67
19.067	23.51	33.14	-0.01	7.62
19.157	21.88	31.50	-0.05	7.58
19.247	19.48	29.11	0.08	7.71
19.337	17.25	26.88	-0.07	7.56
19.426	14.64	24.27	0.04	7.67
19.516	17.28	26.91	-0.01	7.62
19.606	24.49	34.12	-0.04	7.58
19.696	30.09	39.72	0.09	7.71
19.786	31.50	41.13	-0.06	7.56
19.876	26.48	36.11	0.05	7.68
19.966	21.66	31.28	-0.01	7.61
20.056	22.67	32.30	-0.04	7.59
20.146	24.35	33.98	0.08	7.71
20.236	24.02	33.65	-0.07	7.56
20.326	23.33	32.96	0.05	7.68
20.416	21.35	30.98	-0.02	7.61
20.506	19.26	28.88	-0.04	7.59
20.596	16.87	26.50	0.08	7.71
20.686	14.46	24.09	-0.07	7.56
20.776	18.66	28.28	0.05	7.68
20.866	25.73	35.36	-0.02	7.61
20.956	30.70	40.33	-0.03	7.59
21.046	31.19	40.82	0.09	7.71
21.136	25.39	35.02	-0.07	7.56
21.226	21.21	30.83	0.05	7.68
21.316	23.12	32.75	-0.02	7.61
21.405	24.31	33.93	-0.03	7.60
21.495	23.93	33.56	0.08	7.71
21.587	23.04	32.67	-0.08	7.55
21.677	20.91	30.54	0.07	7.70
21.767	18.62	28.25	-0.05	7.58
21.857	16.11	25.74	0.02	7.65
21.946	14.40	24.03	0.05	7.67
22.036	20.27	29.90	-0.08	7.55
22.139	27.87	37.50	-0.01	7.62
22.235	31.66	41.28	-0.07	7.56
22.329	28.81	38.44	0.06	7.68
22.425	22.48	32.11	0.06	7.68
22.515	21.76	31.39	-0.02	7.60
22.605	24.02	33.65	-0.02	7.61
22.695	24.06	33.69	0.09	7.71
22.785	23.44	33.07	-0.07	7.55
22.875	22.14	31.77	0.06	7.68
22.971	19.58	29.21	-0.05	7.58
23.065	17.11	26.74	-0.03	7.60
